# 来源：kajweb/dict GaoZhongluan_2（有道高考必备词汇，非官方新课标3500表）
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：3665（跳过 3 条：词组、重复或非法字符）
breath|n|n 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
breathe|v|v 呼吸；低语；松口气；（风）轻拂
breathless|a|adj 喘不过气来的；停止呼吸的
brewery|n|n 啤酒厂
brick|a n v|n 砖，砖块；砖形物；心肠好的人；v 用砖砌
bride|n|n 新娘；姑娘，女朋友
bridegroom|n|n 新郎
bridge|n v|n 桥；桥牌；桥接器；船桥；v 架桥；渡过
brief|a n v|adj 简短的，简洁的；短暂的，草率的；n 摘要，简报；概要，诉书
bright|a d n|adj 明亮的，鲜明的；聪明的；愉快的；adv 明亮地；光明地；欢快地
brilliant|a|adj 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
bring|n v|v 带来；促使；引起；使某人处于某种情况或境地；n (Bring)人名；(英、瑞典)布林
britain|n|n 英国；不列颠
british|a n|adj 英国的；英国人的；大不列颠的；n 英国人
broad|a d n|adj 宽的，辽阔的；显著的；大概的；n 宽阔部分
broadcast|a n v|v 播送，播放；（无线电或电视）广播；播撒（种子）；n 广播；播音；广播节目
brochure|n|n 手册，小册子
broken|a v|adj 破碎的；坏掉的；v 折断；打碎；损坏（break的过去分词）
broom|n v|n 扫帚；金雀花；v 扫除
brother|n|n 兄弟；同事；战友；int 我的老兄！
brotherhood|n|n 兄弟关系；手足情谊；四海之内皆兄弟的信念
brown|a n v|adj 棕色的，褐色的；太阳晒黑的；v 变成褐色
brunch|n|n 早午餐
brush|n v|n 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴；v 刷；画；
bucket|n v|n 桶，水桶；铲斗；一桶的量；v 倾盆而下；颠簸着行进
buddhism|n|n 佛教
buddhist|a n|n 佛教徒；adj 佛教的
budget|a n v|n 预算，预算费；v 安排，预定；把…编入预算
buffet|a n v|n 自助餐；小卖部；打击；猛烈冲击；v 与…搏斗；连续猛击
build|n v|v 建立；建筑；n 构造；体形；体格
building|n v|n 建筑；建筑物；v 建筑；建立；增加（build的ing形式）
bun|n|n 小圆面包
bunch|n v|n 群；串；突出物；v 隆起；打褶；形成一串
bungalow|n|n 平房；小屋
burden|n v|n 负担；责任；船的载货量；v 使负担；烦扰；装货于
bureaucratic|a|adj 官僚的；官僚政治的
burglar|n|n 夜贼，窃贼
burial|a n|n 埋葬；葬礼；弃绝；adj 埋葬的
burn|n v|v 燃烧；烧毁，灼伤；激起…的愤怒；n 灼伤，烧伤；烙印
burst|n v|v 爆发，突发；爆炸；n 爆发，突发；爆炸
bury|n v|v 埋葬；隐藏；n (Bury)人名；(法)比里；(英、西)伯里；(德、意、罗、波、捷、匈)布里；(俄)布雷
bus|n|n 公共汽车
bush|a n v|n 灌木；矮树丛；v 以灌木装饰；使…精疲力竭
business|n|n 商业；[贸易] 生意；[贸易] 交易；事情
businessman|n|n 商人
businesswoman|n|n 女商人
busy|a n v|adj 忙碌的；热闹的；正被占用的；v 使忙于
but|d n|conj 但是；而是；然而；adv 仅仅，只
butcher|n v|v 屠杀；n 屠夫
butter|n v|v 涂黄油于；讨好；n 黄油；奶油；奉承话
butterfly|n|n 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
button|n v|n 按钮；纽扣；v 扣住；扣紧；在…上装纽扣
buy|n v|v 购买；获得；贿赂；n 购买，买卖；所购的物品
by|d|prep 通过；被；依据；经由；在附近；在……之前；adv 通过；经过；附近；[互联网] 白俄罗斯的国家代码顶级域名
bye|a n|int 再见；n 轮空；次要的东西
cab|n v|n 驾驶室；出租汽车；出租马车；v 乘出租马车（或汽车）
cabbage|n|n 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
cafeteria|n|n 自助餐厅
cage|n v|n 笼，兽笼；牢房，监狱；v 把…关进笼子；把…囚禁起来
cake|n v|n 蛋糕；块状物；利益总额；v 使结块
calculate|v|v 计算；以为；作打算
call|n v|v 呼叫；拜访；叫牌；n 电话；呼叫；要求；访问
calm|a n v|adj 静的，平静的；沉着的；v 使平静；使镇定
camel|a n v|n [畜牧][脊椎] 骆驼；打捞浮筒；工作作风官僚；adj 驼色的；暗棕色的
camera|n|n 照相机；摄影机
camp|n v|v 露营；扎营；n 露营
campaign|n v|v 作战；参加竞选；参加活动；n 运动；活动；战役
canada|n|n 加拿大（北美洲国家）
canadian|a n|adj 加拿大（人）的；n 加拿大人
canal|n v|n 运河；[地理] 水道；[建] 管道；灌溉水渠；v 在…开凿运河
cancel|n v|v 取消；删去；n 取消，撤销
cancer|n|n 癌症；恶性肿瘤
candidate|n|n 候选人，候补者；应试者
candle|n v|n 蜡烛；烛光；烛形物；v 对着光检查
candy|a n v|v 用糖煮；使结晶为砂糖；美化；n 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
canteen|n|n 食堂，小卖部；水壶
cap|n v|n 盖；帽子；v 脱帽致意
capital|a n|n 首都，省会；资金；大写字母；资本家；adj 首都的；重要的；大写的
capsule|a n v|n 胶囊；[植] 蒴果；太空舱；小容器；adj 压缩的；概要的
captain|n v|n 队长，首领；船长；上尉；海军上校；v 指挥；率领
caption|n v|n 标题；字幕；说明；逮捕；v 加上说明；加上标题
car|n|n 汽车；车厢
carbon|a n|n [化学] 碳；碳棒；复写纸；adj 碳的；碳处理的
card|n v|n 卡片；纸牌；明信片；v 记于卡片上
care|n v|n 关怀；照料；谨慎；忧虑；v 照顾；关心；喜爱；顾虑
careful|a|adj 仔细的，小心的
careless|a n|adj 粗心的；无忧无虑的；淡漠的；n (Careless)人名；(英)凯尔利斯
carpenter|n v|n 木匠，木工；v 当木匠，做木匠工作
carpet|n v|v 在…上铺地毯，把地毯铺在…上；斥责；n 地毯；地毯状覆盖物
carriage|n|n 运输；运费；四轮马车；举止；客车厢
carrier|n|n [化学] 载体；运送者；带菌者；货架
carrot|n|n 胡萝卜
carry|n v|v 拿，扛；携带；支持；搬运；n 运载；[计] 进位；射程
cartoon|n v|n 卡通片，[电影] 动画片；连环漫画；v 为…画漫画
carve|n v|v 雕刻；切开；开创；n (Carve)人名；(西、瑞典)卡韦
case|n v|n 情况；实例；箱；v 包围；把…装于容器中
cash|n v|n 现款，现金；v 将…兑现；支付现款
cassette|n|n 盒式磁带；暗盒；珠宝箱；片匣
cast|n v|v 投，抛；计算；浇铸；投射（光、影、视线等）；n 投掷，抛；铸件，[古生] 铸型；演员阵容；脱落物
castle|n v|n 城堡；象棋中的车；v 置…于城堡中；筑城堡防御
casual|a n|adj 随便的；非正式的；临时的；偶然的；n 便装；临时工人；待命士兵
cat|n|n 猫，猫科动物
catalogue|n v|n 目录；（美）大学情况一览；v 把…编入目录
catastrophe|n|n 大灾难；大祸；惨败
catch|n v|v 赶上；抓住；感染；了解；n 捕捉；捕获物；窗钩
category|n|n 种类，分类；[数] 范畴
cater|n v|v 投合，迎合；满足需要；提供饮食及服务；n (Cater)人名；(英)凯特
cathedral|n|n 大教堂
catholic|a n|adj 天主教的；宽宏大量的；n 天主教徒；罗马天主教
cattle|n|n 牛；牲畜（骂人的话）；家畜；无价值的人
cause|n v|n 原因；事业；目标；v 引起；使遭受
caution|n v|n 小心，谨慎；警告，警示；v 警告
cautious|a|adj 谨慎的；十分小心的
cave|n v|v 使凹陷，使塌落；在…挖洞穴；n 洞穴，窑洞
cd||abbr 光盘，激光唱片（Compact Disc）；呼叫设备（Calling Device）；中央地区（Central District）；商务部（Commerce Department）
ceiling|n|n 天花板；上限
celebrate|v|v 庆祝；举行；赞美；祝贺；宣告
celebration|n|n 庆典，庆祝会；庆祝；颂扬
cell|n v|n 细胞；电池；蜂房的巢室；单人小室；vi 住在牢房或小室中
cellar|n v|n 地窖；酒窖；地下室；vt 把…藏入地窖
cent|n|n 分；一分的硬币；森特（等于半音程的百分之一）
centigrade|a|adj 摄氏的；[仪] 摄氏温度的；百分度的
centimetre|n|n 厘米；公分
central|a n|adj 中心的；主要的；中枢的；n 电话总机
centre|a n v|v 以…为中心；n 中心
century|n|n 世纪，百年；（板球）一百分
ceremony|n|n 典礼，仪式；礼节，礼仪；客套，虚礼
certain|a n|adj 某一；必然的；确信；无疑的；有把握的；pron 某些；某几个
certainly|d|adv 当然；行（用于回答）；必定
certificate|n v|v 发给证明书；以证书形式授权给…；用证书批准；n 证书；执照，文凭
chain|n v|n 链；束缚；枷锁；v 束缚；囚禁；用铁链锁住
chair|n v|n 椅子；讲座；（会议的）主席位；大学教授的职位；v 担任（会议的）主席；使…入座；使就任要职
chairman|n|n 主席，会长；董事长
chairwoman|n|n 女主席；女议长
chalk|a n v|v 用粉笔写；用白垩粉擦；记录；规划；n 粉笔；白垩；用粉笔划的记号
challenge|n v|n 挑战；怀疑；v 向…挑战；对…质疑
challenging|a v|adj 挑战的；引起挑战性兴趣的；v 要求；质疑；反对；向…挑战；盘问（challenge的ing形式）
champion|a n v|n 冠军；拥护者；战士；v 支持；拥护
chance|n v|n 机会，际遇；运气，侥幸；可能性；v 偶然发生；冒……的险
change|n v|v 改变；交换；n 变化；找回的零钱
changeable|a|adj 无常的；可改变的；易变的；不定的
channel|n v|v 引导，开导；形成河道；n 通道；频道；海峡
chant|n v|n 圣歌；赞美诗；v 唱；诵扬
chaos|n|n 混沌，混乱
chapter|n v|n 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期；vt 把…分成章节
character|n v|n 性格，品质；特性；角色；[计] 字符；v 印，刻；使具有特征
characteristic|a n|adj 典型的；特有的；表示特性的；n 特征；特性；特色
charge|n v|n 费用；电荷；掌管；控告；命令；负载；v 使充电；使承担；指责；装载；对…索费；向…冲去
chart|n v|n 图表；海图；图纸；排行榜；v 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展
chat|n v|v 聊天；闲谈；n 聊天；闲谈
cheap|a d|adj 便宜的；小气的；不值钱的；adv 便宜地
cheat|n v|v 欺骗；骗取；n 欺骗，作弊；骗子
check|n v|v 检查，核对；制止，抑制；在…上打勾；n <美>支票；制止，抑制；检验，核对
cheek|n v|n 面颊，脸颊；臀部；v 无礼地向…讲话，对…大胆无礼
cheer|n v|v 欢呼；使高兴；为…加油；n 欢呼；愉快；心情；令人愉快的事
cheerful|a|adj 快乐的；愉快的；高兴的
cheers|v|v 感谢；谢谢；再见
cheese|a n v|n [食品] 奶酪；干酪；要人；v 停止
chef|n|n 厨师，大师傅
chemical|a n|n 化学制品，化学药品；adj 化学的
chemist|n|n 化学家；化学工作者；药剂师；炼金术士
chemistry|n|n 化学；化学过程
cheque|n|n 支票
chess|n|n 国际象棋，西洋棋
chest|n|n 胸，胸部；衣柜；箱子；金库
chew|n v|n 咀嚼；咀嚼物；v 嚼碎，咀嚼
chick|a n|n 小鸡；小鸟；少妇；adj 胆小的；懦弱的
chicken|a n|n 鸡肉；小鸡；胆小鬼，懦夫；adj 鸡肉的；胆怯的；幼小的
chief|a d n|n 首领；酋长；主要部分；adj 首席的；主要的；主任的
child|n|n 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
childhood|n|n 童年时期；幼年时代
chimney|n|n 烟囱
china|a n|n 中国；adj 中国的；中国制造的
chinese|a n|n 中文，汉语；中国人；adj 中国的，中国人的；中国话的
chips|n|n [食品] 炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
chocolate|a n|n 巧克力，巧克力糖；巧克力色；adj 巧克力色的；巧克力口味的
choice|a n|n 选择；选择权；精选品；adj 精选的；仔细推敲的
choir|n v|n 唱诗班；合唱队；舞蹈队；v 合唱
choke|n v|v 呛；使窒息；阻塞；抑制；扑灭；n 窒息；噎；[动力] 阻气门
choose|v|v 选择，决定
chopsticks|n|n 筷子
chorus|n v|n 合唱队；齐声；歌舞队；v 合唱；异口同声地说
christian|a n|n 基督徒，信徒；adj 基督教的；信基督教的
christmas|n|n 圣诞节；圣诞节期间
church|a n v|n 教堂；礼拜；教派；adj 教会的；礼拜的
cigar|n|n 雪茄
cigarette|n|n 香烟；纸烟
cinema|n|n 电影；电影院；电影业，电影制作术
circle|n v|n 循环，周期；圆；圈子；圆形物；v 盘旋，旋转；环行
circuit|n v|n [电子] 电路，回路；巡回；一圈；环道；v 环行
circulate|v|v 传播，流传；循环；流通
circumstance|n|n 环境，情况；事件；境遇
circus|n|n 马戏；马戏团
citizen|n|n 公民；市民；老百姓
city|a n|n 城市，都市；adj 城市的；都会的
civil|a n|adj 公民的；民间的；文职的；有礼貌的；根据民法的；n (Civil)人名；(土)吉维尔；(法)西维尔
civilian|a n|adj 民用的；百姓的，平民的；n 平民，百姓
civilization|n|n 文明；文化
clap|n v|v 鼓掌，拍手；啪地关上；n 鼓掌；拍手声
clarify|v|v 澄清；阐明
class|a n v|n 阶级；班级；种类；班；等级；v 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
classic|a n|adj 经典的；古典的，传统的；最优秀的；n 名著；经典著作；大艺术家
classical|a n|adj 古典的；经典的；传统的；第一流的；n 古典音乐
classify|v|v 分类；分等
classmate|n|n 同班同学
classroom|n|n 教室
claw|n v|n 爪；螯，钳；爪形器具；v 用爪抓（或挖）
clay|n v|n [土壤] 粘土；泥土；肉体；似黏土的东西；vt 用黏土处理
clean|a d n v|adj 清洁的，干净的；清白的；v 使干净
cleaner|n|n [化工] 清洁剂；清洁工；干洗店；干洗商；洗洁器
clear|a d n v|adj 清楚的；清澈的；晴朗的；无罪的；v 通过；清除；使干净；跳过
clearly|d|adv 清晰地；明显地；无疑地；明净地
clerk|n v|n 职员，办事员；店员；书记；记账员；<古>牧师，教士；v 当销售员，当店员；当职员
clever|a|adj 聪明的；机灵的；熟练的
click|n v|v 点击；使发咔哒声；n 单击；滴答声
climate|n|n 气候；风气；思潮；风土
climb|n v|v 爬；攀登；上升；n 爬；攀登
clinic|n|n 临床；诊所
clock|n v|n 时钟；计时器；v 记录；记时
clone|n v|n 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物；v 无性繁殖，复制
close|a d n v|adj 紧密的；亲密的；亲近的；v 关；结束；使靠近
cloth|a n|n 布；织物；桌布；adj 布制的
clothes|n|n 衣服
clothing|n v|n （总称）[服装] 服装；帆装；v 覆盖（clothe的ing形式）；给…穿衣
cloud|n v|n 云；阴云；云状物；一大群；黑斑；v 使混乱；以云遮敝；使忧郁；玷污
cloudy|a|adj 多云的；阴天的；愁容满面的
club|a n v|n 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花；v 用棍棒打；募集
clumsy|a|adj 笨拙的
coach|n v|n 教练；旅客车厢；长途公车；四轮大马车；v 训练；指导
coal|n v|v 上煤；加煤；n 煤；煤块；木炭
coast|n v|v 滑行；沿岸航行；n 海岸；滑坡
